"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"MORPHOCORIXA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"CORIXOIDEA"	"CORIXIDAE"	"CORIXINAE"	NA	NA	"MORPHOCORIXA"	NA	1	"MORPHOCORIXA"	"MORPHOCORIXA"
"SYNAPTONECTA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"CORIXOIDEA"	"CORIXIDAE"	NA	NA	NA	"SYNAPTONECTA"	NA	1	"SYNAPTONECTA"	"SYNAPTONECTA"
"LIMNOCORIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NAUCOROIDEA"	"NAUCORIDAE"	"LIMNOCORINAE"	NA	NA	"LIMNOCORIS"	NA	1	"LIMNOCORIS"	"LIMNOCORIS"
"PELOCORIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NAUCOROIDEA"	"NAUCORIDAE"	"NAUCORINAE"	NA	NA	"PELOCORIS"	NA	1	"PELOCORIS"	"PELOCORIS"
"BELOSTOMA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NEPOIDEA"	"BELOSTOMATIDAE"	"BELOSTOMATINAE"	NA	NA	"BELOSTOMA"	NA	2	"BELOSTOMA"	"BELOSTOMA"
"RANATRA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NEPOIDEA"	"NEPIDAE"	"RANATRINAE"	NA	NA	"RANATRA"	NA	1	"RANATRA"	"RANATRA"
"NEOPLEA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NOTONECTOIDEA"	"PLEIDAE"	NA	NA	NA	"NEOPLEA"	NA	2	"NEOPLEA"	"NEOPLEA"
"FARRODES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"LANCEOLATA"	NA	"LEPTOPHLEBIIDAE"	NA	NA	NA	"FARRODES"	NA	3	"FARRODES"	"FARRODES"
"CERCOBRACHYS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"PANNOTA"	"CAENOIDEA"	"CAENIDAE"	"BRACHYCERCINAE"	"CERCOBRACHINI"	NA	"CERCOBRACHYS"	NA	4	"CERCOBRACHYS"	"CERCOBRACHYS"
"CAENIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"PANNOTA"	"CAENOIDEA"	"CAENIDAE"	"CAENINAE"	NA	NA	"CAENIS"	NA	5	"CAENIS"	"CAENIS"
"LEPTOHYPHES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"PANNOTA"	"EPHEMERELLOIDEA"	"LEPTOHYPHIDAE"	NA	NA	NA	"LEPTOHYPHES"	NA	3	"LEPTOHYPHES"	"LEPTOHYPHES"
